Date,AAPL,AMD,AMZN,CVS,EBAY,FCEL,GOOGL,IYW,MAR,MSFT,NEE,NFLX,NVDA,SCWO,TSLA,XOM
2017-08-15,37.70984649658203,13.020000457763672,49.137001037597656,60.89350891113281,31.371183395385742,522.0,46.55226516723633,35.168697357177734,93.37892150878906,67.00577545166016,30.15122413635254,16.850000381469727,4.121753692626953,0.10000000149011612,24.155332565307617,53.626800537109375
2017-08-16,37.558162689208984,12.630000114440918,48.909000396728516,61.00128936767578,31.46908950805664,507.6000061035156,46.85944747924805,35.26896667480469,93.2859115600586,67.39927673339844,30.33934211730957,16.99799919128418,4.0765814781188965,0.10000000149011612,24.194000244140625,53.2351188659668
2017-08-17,36.83709716796875,12.34000015258789,48.028499603271484,60.724178314208984,31.015209197998047,518.4000244140625,46.03517150878906,34.55036163330078,90.99791717529297,66.25537109375,30.06220817565918,16.608999252319336,3.9857449531555176,0.10000000149011612,23.461332321166992,52.403629302978516
2017-08-18,36.75310134887695,12.369999885559082,47.923500061035156,59.777400970458984,30.95290184020996,507.6000061035156,45.961727142333984,34.5145378112793,91.17462158203125,66.33773040771484,30.329227447509766,16.65399932861328,3.9864842891693115,0.10999999940395355,23.163999557495117,52.66476821899414
2017-08-21,36.685420989990234,12.050000190734863,47.66450119018555,59.761993408203125,30.47233009338379,500.3999938964844,45.698219299316406,34.45963668823242,92.1512222290039,66.0265884399414,30.434417724609375,16.676000595092773,3.9284772872924805,0.10999999940395355,22.52400016784668,52.48607635498047
2017-08-22,37.28514862060547,12.170000076293945,48.345001220703125,59.85437774658203,30.979612350463867,522.0,46.667396545410156,35.00874328613281,95.18402862548828,66.95084381103516,30.513317108154297,16.93400001525879,4.01593542098999,0.10999999940395355,22.75666618347168,52.73347473144531
2017-08-23,37.331809997558594,12.479999542236328,47.900001525878906,59.738895416259766,31.05079460144043,525.5999755859375,46.775577545166016,34.951438903808594,93.71893310546875,66.54820251464844,30.469135284423828,16.9060001373291,4.096230506896973,0.10999999940395355,23.51799964904785,52.64414596557617
2017-08-24,37.1661262512207,12.5,47.622501373291016,58.03011703491211,31.041902542114258,529.2000122070312,46.49321365356445,34.920406341552734,93.2710189819336,66.52075958251953,30.40193748474121,16.812999725341797,4.081159591674805,0.10999999940395355,23.528667449951172,52.45174026489258
2017-08-25,37.303802490234375,12.430000305175781,47.26300048828125,57.99932098388672,30.86391258239746,532.7999877929688,46.17611312866211,34.88937759399414,93.93358612060547,66.63970947265625,30.56279754638672,16.594999313354492,4.047065258026123,0.10999999940395355,23.203332901000977,52.719730377197266
2017-08-28,37.679500579833984,12.229999542236328,47.30099868774414,58.083988189697266,30.979612350463867,536.4000244140625,46.058494567871094,34.970550537109375,93.98023986816406,66.64885711669922,30.721622467041016,16.711999893188477,4.0757246017456055,0.10999999940395355,23.04400062561035,52.5479621887207
2017-08-29,38.015533447265625,12.149999618530273,47.702999114990234,58.568912506103516,31.326698303222656,532.7999877929688,46.43663787841797,35.118568420410156,93.53231048583984,66.85022735595703,30.68903350830078,16.881000518798828,4.069053649902344,0.10999999940395355,23.157333374023438,52.53419876098633
