Date,MV_35952H601,MV_AAPL,MV_AMD,MV_AMZN,MV_CVS,MV_EBAY,MV_FCEL,MV_GOOGL,MV_IYW,MV_MAR,MV_MSFT,MV_NEE,MV_NFLX,MV_NVDA,MV_SCWO,MV_TSLA,MV_XOM,portfolio_value,cash_balance,total_value,cash_balance_clean,total_value_clean,cumulative_deposits
2025-05-13,0.0,212.48263549804688,0.0,211.3699951171875,118.7240219116211,0.0,4.280000209808345,159.09066772460938,317.0730285644531,0.0,446.74505615234375,141.00975036621094,1138.440017700195,1299.0641784667969,17.39999949932098,334.07000732421875,319.5879364013672,4719.33729493618,17.310000000000116,4736.6472949361805,435.3100000000001,5154.6472949361805,-43.23000000000033
2025-05-14,0.0,211.88389587402344,0.0,210.25,117.82132720947266,0.0,4.030000209808345,164.91458129882812,320.07049560546875,0.0,450.5247802734375,141.1661834716797,1150.989990234375,1353.154296875,33.00000131130218,347.67999267578125,316.72670745849615,4822.212252497673,2.9100000000001156,4825.122252497673,420.91000000000014,5243.122252497673,-57.63000000000033
2025-05-15,0.0,211.00575256347656,0.0,205.1699981689453,118.66515350341797,0.0,4.050000190734859,163.5084686279297,319.19122314453125,0.0,451.5411987304687,145.78114318847656,1177.979965209961,1348.0552673339844,30.80000013113022,342.82000732421875,319.9384460449219,4838.506624162197,3.1700000000001154,4841.676624162197,421.17000000000013,5259.676624162197,-57.63000000000033
2025-05-16,0.0,210.8161468505859,0.0,205.58999633789065,122.70764923095702,0.0,4.119999885559078,165.73231506347656,319.8507080078125,0.0,452.6772155761719,146.6610870361328,1191.5299987792966,1353.7542724609375,34.10000026226044,349.9800109863281,318.78929901123047,4876.30869948864,3.1700000000001154,4879.47869948864,421.17000000000013,5297.47869948864,-57.63000000000033
2025-05-19,0.0,208.3413543701172,0.0,206.16000366210935,123.1982421875,0.0,4.880000114440913,166.08132934570312,319.4510498046875,0.0,457.2610473632813,144.43185424804688,1191.6400146484377,1355.4539489746094,35.19999921321869,342.0899963378906,313.72116851806646,4867.910008788109,3.1700000000001154,4871.080008788109,421.17000000000013,5289.080008788109,-57.63000000000033
2025-05-20,0.0,206.42539978027344,0.0,204.07000732421875,125.08213806152344,0.0,4.579999923706049,163.5283966064453,318.2320556640625,0.0,456.56353759765625,145.5073699951172,1192.020034790039,1343.5560607910156,35.19999921321869,343.82000732421875,309.2423858642578,4847.827392935753,3.1700000000001154,4850.997392935753,421.17000000000013,5268.997392935753,-57.63000000000033
2025-05-21,0.0,201.6654052734375,0.0,201.1199951171875,121.88345336914062,0.0,4.219999790191646,168.09579467773438,313.1363525390625,0.0,0.0,139.89512634277344,1194.6299743652344,1317.7607727050781,34.10000026226044,334.6199951171875,305.44132232666016,4336.568191885948,458.98000000000013,4795.548191885949,876.9800000000001,5213.548191885949,398.17999999999967
2025-05-22,0.0,200.9369354248047,0.0,203.1000061035156,118.17455291748047,0.0,4.579999923706049,170.39942932128906,313.875732421875,0.0,0.0,130.89991760253906,1187.969970703125,1328.0589294433594,33.00000131130218,341.0400085449219,303.408187866211,4335.443671584129,0.9800000000001319,4336.42367158413,876.9800000000001,5212.42367158413,-59.820000000000334
2025-05-23,0.0,194.85975646972656,0.0,200.9900054931641,119.3716049194336,0.0,5.48000001907348,168.00604248046875,310.01898193359375,0.0,0.0,132.50341796875,1185.3900146484377,1312.6617431640625,34.10000026226044,339.3399963378906,303.584976196289,4306.30653989315,0.9800000000001319,4307.286539893151,876.9800000000001,5183.286539893151,-59.820000000000334
2025-05-27,0.0,199.78936767578125,0.0,206.02000427246097,120.37242126464844,0.0,5.780000209808343,172.423828125,317.6525573730469,0.0,0.0,133.0509490966797,1211.5699768066406,1354.7540283203125,38.49999934434891,362.8900146484375,305.02878570556646,4427.8319328427315,0.9800000000001319,4428.811932842732,876.9800000000001,5304.811932842732,-59.820000000000334
2025-05-28,0.0,199.99891662597656,0.0,204.72000122070312,122.55066680908203,0.0,5.610000133514398,171.8853302001953,316.2137756347656,0.0,0.0,131.4279022216797,1208.550033569336,1347.8553771972656,52.799998819828026,356.8999938964844,300.8741455078125,4419.386141836643,0.9800000000001319,4420.366141836644,876.9800000000001,5296.366141836644,-59.820000000000334
2025-05-29,0.0,199.5299072265625,0.0,205.6999969482422,123.1982421875,0.0,5.210000038146966,171.38671875,317.0730285644531,0.0,0.0,134.9086456298828,1184.8600006103516,1391.6474914550781,51.69999986886978,358.42999267578125,302.5831604003906,4446.227184355259,0.8800000000001319,4447.107184355259,876.8800000000001,5323.107184355259,-59.820000000000334
2025-05-30,0.0,200.4280242919922,0.0,205.0099945068359,125.67084503173828,0.0,5.110000133514399,171.2670440673828,316.2337341308594,0.0,0.0,138.1352081298828,1207.229995727539,1351.0548400878906,47.30000078678131,346.4599914550781,301.4340133666992,4415.333691716194,0.8800000000001319,4416.213691716194,876.8800000000001,5292.213691716194,-59.820000000000334
2025-06-02,0.0,201.27622985839844,0.0,206.6499938964844,124.8073959350586,0.0,4.940000057220454,168.5644989013672,319.111328125,0.0,0.0,138.2869873046875,1218.9800262451172,1373.5507202148438,60.500001311302185,342.69000244140625,303.64391326904297,4463.001097559929,0.8800000000001319,4463.881097559929,876.8800000000001,5339.881097559929,-59.820000000000334
2025-06-03,0.0,202.84292602539065,0.0,205.7100067138672,124.78778076171875,0.0,5.630000114440912,165.7223358154297,323.1279296875,0.0,0.0,139.864013671875,1217.9399871826172,1411.9436645507812,49.49999868869781,344.2699890136719,305.85385894775385,4497.192491173744,0.8800000000001319,4498.072491173744,876.8800000000001,5374.072491173744,-59.820000000000334
2025-06-04,0.0,202.39389038085935,0.0,207.22999572753903,124.74852752685547,0.0,5.6399998664855895,167.5872039794922,324.2869567871094,0.0,0.0,137.75473022460938,1239.6600341796877,1418.9424133300781,47.30000078678131,332.04998779296875,301.4340133666992,4509.027753949165,0.8800000000001319,4509.907753949165,876.8800000000001,5385.907753949165,-59.820000000000334
2025-06-05,0.0,200.20849609375,0.0,207.91000366210935,123.7869644165039,0.0,5.199999809265131,167.74676513671875,323.34771728515625,0.0,0.0,140.94825744628906,1250.52001953125,1399.64599609375,44.00000065565109,284.70001220703125,300.0491180419922,4448.063350379467,0.8800000000001319,4448.943350379467,876.8800000000001,5324.943350379467,-59.820000000000334
2025-06-06,0.0,203.49156188964844,0.0,213.57000732421875,124.76815795898438,0.0,6.469999790191643,173.2017059326172,326.8048400878906,0.0,0.0,142.2493133544922,1241.4700317382812,1416.9427490234375,44.00000065565109,295.1400146484375,307.23873138427734,4495.347113788128,0.8800000000001319,4496.227113788128,876.8800000000001,5372.227113788128,-59.820000000000334
